experiment,category,seed,method,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images,fit_and_score_seconds,rss_mb,memory_vectors,memory_bytes,patchcore_scoring_seconds,branch_upper_quantile,image_auroc,image_ap,pixel_auroc,pixel_ap,threshold,threshold_alpha,threshold_calibration_count,threshold_conformal_rank,threshold_is_finite,threshold_min_attainable_alpha,image_f1_conformal,image_f1_normal95,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,test_true_positive,test_false_positive,test_true_negative,test_false_negative,weight,normal_budget,upper_quantile,branch_calibration_fraction,translation_px,brightness,descriptor_channels,condition,translation_dx,translation_dy,border_mode,registration_dx,registration_dy,interior_image_auroc,interior_image_ap,interior_normal_fpr,interior_recall,valid_pixel_fraction,interior_grid_x0,interior_grid_x1,interior_grid_y0,interior_grid_y1,interior_grid_valid_cells,interior_grid_total_cells,interior_equivalent_pixel_x0,interior_equivalent_pixel_x1,interior_equivalent_pixel_y0,interior_equivalent_pixel_y1,normal_budget_requested,normal_budget_achieved,allocation_strategy,priority_target,priority_achieved
threshold_priority,capsule,20260715,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.047014167001179885,0.995,0.6513761467889909,0.8775487710913805,0.9522081636533346,0.19505616603303746,2.157620668411255,0.05,19.0,19.0,True,0.05,0.19672131147540983,0.19672131147540983,0.9230769230769231,0.11009174311926606,0.9565217391304348,0.5333067411248504,0.043478260869565216,43.47826086956522,12,1,22,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,capsule,20260715,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.047014167001179885,0.995,0.6585560430793778,0.8815913648249754,0.9522861229078268,0.2010274967999628,1.8415380716323853,0.05,19.0,19.0,True,0.05,0.21138211382113822,0.21138211382113822,0.9285714285714286,0.11926605504587157,0.9565217391304348,0.5378938970881532,0.043478260869565216,43.47826086956522,13,1,22,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,capsule,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.030828165996354073,0.995,0.6800957319505386,0.918872834718378,0.9580368544063546,0.2866354306876493,1.3876169919967651,0.05,19.0,19.0,True,0.05,0.33587786259541985,0.33587786259541985,1.0,0.2018348623853211,1.0,0.6009174311926606,0.0,0.0,22,0,23,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,capsule,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.030828165996354073,0.995,0.6844834463502194,0.9209118908405811,0.9580259958983046,0.2866719848233322,1.3218770027160645,0.05,19.0,19.0,True,0.05,0.3851851851851852,0.3851851851851852,1.0,0.23853211009174313,1.0,0.6192660550458715,0.0,0.0,26,0,23,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260714,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.03404150000278605,0.995,0.869983948635634,0.9590236348212913,0.9781626529639876,0.592129310935878,1.3357267379760742,0.05,19.0,19.0,True,0.05,0.8850574712643678,0.8850574712643678,0.9058823529411765,0.8651685393258427,0.7142857142857143,0.7897271268057785,0.2857142857142857,285.7142857142857,77,8,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260714,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.03404150000278605,0.995,0.8703852327447833,0.959535599906951,0.9781495181904698,0.590096846125364,1.3357267379760742,0.05,19.0,19.0,True,0.05,0.8850574712643678,0.8850574712643678,0.9058823529411765,0.8651685393258427,0.7142857142857143,0.7897271268057785,0.2857142857142857,285.7142857142857,77,8,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260715,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.04559062500629807,0.995,0.8756019261637239,0.9592512140473166,0.9708587937234654,0.5066293589139963,1.9437546730041504,0.05,19.0,19.0,True,0.05,0.7050359712230215,0.7050359712230215,0.98,0.550561797752809,0.9642857142857143,0.7574237560192616,0.03571428571428571,35.714285714285715,49,1,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260715,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.04559062500629807,0.995,0.8756019261637239,0.9592512140473166,0.9708515162204385,0.5045167645090608,1.9437546730041504,0.05,19.0,19.0,True,0.05,0.7050359712230215,0.7050359712230215,0.98,0.550561797752809,0.9642857142857143,0.7574237560192616,0.03571428571428571,35.714285714285715,49,1,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.047254292003344744,0.995,0.8575441412520064,0.9517386909292748,0.9739860656113444,0.5458355809839975,1.5965344905853271,0.05,19.0,19.0,True,0.05,0.7785234899328859,0.7785234899328859,0.9666666666666667,0.651685393258427,0.9285714285714286,0.7901284109149278,0.07142857142857142,71.42857142857143,58,2,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,carpet,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.047254292003344744,0.995,0.8559390048154092,0.9512033508647023,0.9739640686525727,0.542800648009059,1.5965344905853271,0.05,19.0,19.0,True,0.05,0.7785234899328859,0.7785234899328859,0.9666666666666667,0.651685393258427,0.9285714285714286,0.7901284109149278,0.07142857142857142,71.42857142857143,58,2,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260714,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.01765566699759802,0.995,0.5413533834586466,0.7590398884712033,0.6783504729927329,0.011534071233923186,1.4670836925506592,0.05,19.0,19.0,True,0.05,0.2153846153846154,0.2153846153846154,0.875,0.12280701754385964,0.9523809523809523,0.537593984962406,0.047619047619047616,47.61904761904761,7,1,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260714,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.01765566699759802,0.995,0.5413533834586466,0.7590398884712033,0.6783465801133195,0.011532480586984493,1.4670836925506592,0.05,19.0,19.0,True,0.05,0.2153846153846154,0.2153846153846154,0.875,0.12280701754385964,0.9523809523809523,0.537593984962406,0.047619047619047616,47.61904761904761,7,1,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260715,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.0276856670025154,0.995,0.4486215538847118,0.6994126647000423,0.6936228030068828,0.016329535124356327,1.5713061094284058,0.05,19.0,19.0,True,0.05,0.03389830508474576,0.03389830508474576,0.5,0.017543859649122806,0.9523809523809523,0.4849624060150376,0.047619047619047616,47.61904761904761,1,1,20,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260715,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.0276856670025154,0.995,0.4486215538847118,0.6994126647000423,0.6936228850003561,0.016329705147728687,1.5713061094284058,0.05,19.0,19.0,True,0.05,0.03389830508474576,0.03389830508474576,0.5,0.017543859649122806,0.9523809523809523,0.4849624060150376,0.047619047619047616,47.61904761904761,1,1,20,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.025672750001831446,0.995,0.4018379281537176,0.6679959929514554,0.7030046366720721,0.017415191088624132,2.167205333709717,0.05,19.0,19.0,True,0.05,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,21,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,grid,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.025672750001831446,0.995,0.40434419381787806,0.6686419948953165,0.7029950161536478,0.017401563799865925,2.167205333709717,0.05,19.0,19.0,True,0.05,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,21,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260714,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.035882499993022066,0.995,0.9082142857142858,0.9393263348543379,0.9616654761725643,0.3908266966686632,1.1302051544189453,0.05,19.0,19.0,True,0.05,0.8527131782945736,0.8527131782945736,0.9322033898305084,0.7857142857142857,0.9,0.8428571428571429,0.1,100.0,55,4,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260714,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.035882499993022066,0.995,0.9046428571428572,0.9353026742037704,0.961598581982221,0.3835214628560575,1.1302051544189453,0.05,19.0,19.0,True,0.05,0.84375,0.84375,0.9310344827586207,0.7714285714285715,0.9,0.8357142857142857,0.1,100.0,54,4,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260715,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.024301416000525933,0.995,0.9360714285714286,0.965064315468165,0.9660230588897722,0.46057681025318664,1.260666847229004,0.05,19.0,19.0,True,0.05,0.7899159663865546,0.7899159663865546,0.9591836734693877,0.6714285714285714,0.95,0.8107142857142857,0.05,50.0,47,2,38,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260715,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.024301416000525933,0.995,0.9346428571428572,0.9631535414465007,0.9658878489760538,0.45070491884979663,1.260666847229004,0.05,19.0,19.0,True,0.05,0.7586206896551724,0.7586206896551724,0.9565217391304348,0.6285714285714286,0.95,0.7892857142857143,0.05,50.0,44,2,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260716,freqpatch_lite,8.0,5.0,19.0,,,,256,98304,0.026723083996330388,0.995,0.9249999999999999,0.9431037028585121,0.9666329494035477,0.3927076613338388,1.1624336242675781,0.05,19.0,19.0,True,0.05,0.6095238095238096,0.6095238095238096,0.9142857142857143,0.45714285714285713,0.925,0.6910714285714286,0.075,75.0,32,3,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
threshold_priority,hazelnut,20260716,patchcore_lite,8.0,5.0,19.0,,,,256,98304,0.026723083996330388,0.995,0.9239285714285714,0.9414724452272545,0.9666065285858225,0.38884688207665974,1.1624336242675781,0.05,19.0,19.0,True,0.05,0.5825242718446602,0.5825242718446602,0.9090909090909091,0.42857142857142855,0.925,0.6767857142857143,0.075,75.0,30,3,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,threshold_prioritized,19.0,True
